study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB43263	SAMEA8124518	ERX5136041	ERR5347654	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347654/ERR5347654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347654/ERR5347654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347654/B73_rep1_corrected_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347654/B73_rep1_corrected_S2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124519	ERX5136042	ERR5347655	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347655/ERR5347655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347655/ERR5347655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347655/B73_rep2_corrected_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347655/B73_rep2_corrected_S4_R2_001.fastq.gz	
PRJEB43263	SAMEA8124520	ERX5136043	ERR5347656	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347656/ERR5347656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347656/ERR5347656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347656/B73_rep3_2_S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347656/B73_rep3_2_S1_R2_001.fastq.gz	
PRJEB43263	SAMEA8124521	ERX5136044	ERR5347657	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347657/ERR5347657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347657/ERR5347657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347657/B73-root-rep1_corrected_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347657/B73-root-rep1_corrected_R2_001.fastq.gz	
PRJEB43263	SAMEA8124522	ERX5136045	ERR5347658	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347658/ERR5347658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347658/ERR5347658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347658/B73-root-rep2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347658/B73-root-rep2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124523	ERX5136046	ERR5347659	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347659/ERR5347659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347659/ERR5347659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347659/B73-tassel-rep1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347659/B73-tassel-rep1_R2_001.fastq.gz	
PRJEB43263	SAMEA8124524	ERX5136047	ERR5347660	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347660/ERR5347660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347660/ERR5347660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347660/B73-tassel-rep2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347660/B73-tassel-rep2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124525	ERX5136048	ERR5347661	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347661/ERR5347661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347661/ERR5347661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347661/B73Ab10_rep1_2_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347661/B73Ab10_rep1_2_S2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124526	ERX5136049	ERR5347662	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347662/ERR5347662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347662/ERR5347662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347662/B73Ab10_rep2_corrected_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347662/B73Ab10_rep2_corrected_S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124527	ERX5136050	ERR5347663	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347663/ERR5347663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347663/ERR5347663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347663/B73Ab10_rep3_corrected_S5_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347663/B73Ab10_rep3_corrected_S5_R2_001.fastq.gz	
