,study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Sample,tissue
0,PRJEB36014,SAMEA6447966,ERX3793507,ERR3791403,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791403/ERR3791403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791403/ERR3791403_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791403/B97_R1_anther_MN03081_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791403/B97_R1_anther_MN03081_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/003/ERR3791403,B97,anther
1,PRJEB36014,SAMEA6447967,ERX3793508,ERR3791404,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791404/ERR3791404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791404/ERR3791404_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791404/B97_R1_anther_MN03082_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791404/B97_R1_anther_MN03082_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/004/ERR3791404,B97,anther
2,PRJEB36014,SAMEA6447968,ERX3793509,ERR3791405,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791405/ERR3791405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791405/ERR3791405_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791405/CML103_R1_anther_MN04081_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791405/CML103_R1_anther_MN04081_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/005/ERR3791405,CML103,anther
3,PRJEB36014,SAMEA6447969,ERX3793510,ERR3791406,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791406/ERR3791406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791406/ERR3791406_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791406/CML103_R1_anther_MN04082_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791406/CML103_R1_anther_MN04082_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/006/ERR3791406,CML103,anther
4,PRJEB36014,SAMEA6447970,ERX3793511,ERR3791407,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791407/ERR3791407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791407/ERR3791407_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791407/CML277_R1_anther_MN05081_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791407/CML277_R1_anther_MN05081_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/007/ERR3791407,CML277,anther
5,PRJEB36014,SAMEA6447971,ERX3793512,ERR3791408,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791408/ERR3791408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791408/ERR3791408_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791408/CML277_R1_anther_MN05082_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791408/CML277_R1_anther_MN05082_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/008/ERR3791408,CML277,anther
6,PRJEB36014,SAMEA6447972,ERX3793513,ERR3791409,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791409/ERR3791409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791409/ERR3791409_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791409/CML228_R1_anther_MN06081_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791409/CML228_R1_anther_MN06081_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/009/ERR3791409,CML228,anther
7,PRJEB36014,SAMEA6447973,ERX3793514,ERR3791410,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791410/ERR3791410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791410/ERR3791410_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791410/CML228_R1_anther_MN06082_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791410/CML228_R1_anther_MN06082_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/000/ERR3791410,CML228,anther
8,PRJEB36014,SAMEA6447974,ERX3793515,ERR3791411,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791411/ERR3791411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791411/ERR3791411_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791411/CML247_R1_anther_MN07081_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791411/CML247_R1_anther_MN07081_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/001/ERR3791411,CML247,anther
9,PRJEB36014,SAMEA6447975,ERX3793516,ERR3791412,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791412/ERR3791412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791412/ERR3791412_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791412/CML247_R1_anther_MN07082_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791412/CML247_R1_anther_MN07082_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/002/ERR3791412,CML247,anther
